AGID,LBK_PORT,PCID,DESCRIPTION,LAT,LONG,INPFC_AREA,OBS_port,NS rank,PORT NAME
C,706,OLA, RANCHO PALOS VERDES                   ,33.73583,,CONCEPTION,,380,OTH LA
C,707,OLA, WESTMINISTER                          ,33.73583,,CONCEPTION,,381,OTH LA
C,708,OLA, COVINA                                ,33.73583,,CONCEPTION,,382,OTH LA
C,709,OLA, EL SEGUNDO                            ,33.73583,,CONCEPTION,,383,OTH LA
C,710,OLA, HAWAIIAN GARDENS                      ,33.73583,,CONCEPTION,,384,OTH LA
C,711,OLA, CARSON                                ,33.73583,,CONCEPTION,,385,OTH LA
C,712,OLA, MISSION VIEJO                         ,33.73583,,CONCEPTION,,386,OTH LA
C,721,OLA, ANAHEIM                               ,33.73583,,CONCEPTION,,387,OTH LA
C,724,OLA, BELL GARDENS                          ,33.73583,,CONCEPTION,,388,OTH LA
C,726,OLA, ORANGE                                ,33.73583,,CONCEPTION,,389,OTH LA
C,727,OLA, WHITTIER                              ,33.73583,,CONCEPTION,,390,OTH LA
C,728,OLA, NORWALK                               ,33.73583,,CONCEPTION,,391,OTH LA
C,729,OLA, MALIBU                                ,33.73583,,CONCEPTION,,392,OTH LA
C,730,OLA, TORRANCE                              ,33.73583,,CONCEPTION,,393,OTH LA
C,733,OLA, CATALINA ISLAND                       ,33.73583,,CONCEPTION,,394,OTH LA
C,736,OLA, LOS ALAMITOS                          ,33.73583,,CONCEPTION,,395,OTH LA
C,738,OLA, PACIFIC PALISADES                     ,33.73583,,CONCEPTION,,396,OTH LA
C,739,OLA, SUNSET BEACH                          ,33.73583,,CONCEPTION,,397,OTH LA
C,741,OLA, AVALON                                ,33.73583,,CONCEPTION,,398,OTH LA
C,742,OLA, REDONDO BEACH                         ,33.73583,,CONCEPTION,,399,OTH LA
C,744,OLA, LOS ANGELES                           ,33.73583,,CONCEPTION,LOS ANGELES,400,OTH LA
C,747,OLA, SANTA MONICA                          ,33.73583,,CONCEPTION,,401,OTH LA
C,749,OLA, LAGUNA                                ,33.73583,,CONCEPTION,,402,OTH LA
C,750,OLA, WEST LOS ANGELES                      ,33.73583,,CONCEPTION,,403,OTH LA
C,751,OLA, TOPANGA CANYON                        ,33.73583,,CONCEPTION,,404,OTH LA
C,752,OLA, OCEAN PARK                            ,33.73583,,CONCEPTION,,405,OTH LA
C,753,OLA, VENICE                                ,33.73583,,CONCEPTION,,406,OTH LA
C,754,OLA, ELSINORE                              ,33.73583,,CONCEPTION,,407,OTH LA
C,755,OLA, NORCO                                 ,33.73583,,CONCEPTION,,408,OTH LA
C,756,OLA, HERMOSA BEACH                         ,33.73583,,CONCEPTION,,409,OTH LA
C,757,OLA, POINT DUME                            ,33.73583,,CONCEPTION,,410,OTH LA
C,759,OLA, COSTA MESA                            ,33.73583,,CONCEPTION,,411,OTH LA
C,760,OLA, SEAL BEACH                            ,33.73583,,CONCEPTION,,412,OTH LA
C,762,OLA, MANHATTAN BEACH                       ,33.73583,,CONCEPTION,,413,OTH LA
C,763,OLA, ALHAMBRA                              ,33.73583,,CONCEPTION,,414,OTH LA
C,764,OLA, BALBOA                                ,33.73583,,CONCEPTION,,415,OTH LA
C,765,OLA, CORONA DEL MAR                        ,33.73583,,CONCEPTION,,416,OTH LA
C,766,OLA, SAN CLENENTE                          ,33.73583,,CONCEPTION,,417,OTH LA
C,768,OLA, HUNTINGTON BEACH                      ,33.73583,,CONCEPTION,,418,OTH LA
C,769,OLA, RIVERSIDE                             ,33.73583,,CONCEPTION,,419,OTH LA
C,771,OLA, SANTA ANA                             ,33.73583,,CONCEPTION,,420,OTH LA
C,772,OLA, CAPISTRANO                            ,33.73583,,CONCEPTION,,421,OTH LA
C,773,OLA, GARDENA                               ,33.73583,,CONCEPTION,,422,OTH LA
C,774,OLA, INGLEWOOD                             ,33.73583,,CONCEPTION,,423,OTH LA
C,775,OLA, BEAUMONT                              ,33.73583,,CONCEPTION,,424,OTH LA
C,776,OLA, PLAYA DEL REY                         ,33.73583,,CONCEPTION,,425,OTH LA
C,777,OLA, LYNWOOD                               ,33.73583,,CONCEPTION,,426,OTH LA
C,778,OLA, PARAMOUNT                             ,33.73583,,CONCEPTION,,427,OTH LA
C,779,OLA, HARBOR CITY                           ,33.73583,,CONCEPTION,,428,OTH LA
C,780,OLA, FULLERTON                             ,33.73583,,CONCEPTION,,429,OTH LA
C,781,OLA, WALNUT                                ,33.73583,,CONCEPTION,,430,OTH LA
C,784,OLA, SAN BERNARDINO                        ,33.73583,,CONCEPTION,,431,OTH LA
C,785,OLA, VERNON                                ,33.73583,,CONCEPTION,,432,OTH LA
C,789,OLA, UPLAND                                ,33.73583,,CONCEPTION,,433,OTH LA
C,790,OLA, IRVINE                                ,33.73583,,CONCEPTION,,434,OTH LA
C,792,OLA, BLOOMINGTON                           ,33.73583,,CONCEPTION,,435,OTH LA
C,794,OLA, LA CANADA                             ,33.73583,,CONCEPTION,,436,OTH LA
C,796,OLA, PASADENA                              ,33.73583,,CONCEPTION,,437,OTH LA
C,802,OLA, NEWHALL                               ,33.73583,,CONCEPTION,,438,OTH LA
C,803,OLA, RESEDA                                ,33.73583,,CONCEPTION,,439,OTH LA
C,804,OLA, ONTARIO                               ,33.73583,,CONCEPTION,,440,OTH LA
C,805,OLA, CHATSWORTH                            ,33.73583,,CONCEPTION,,441,OTH LA
W,OLY,OLY, OLYMPIA                               ,47.0378741,-122.9006951,COLUMBIA,,456, OLYMPIA                               
C,222,OMD, ELK                                   ,39.2235117,,MONTEREY,,80,OTH Mendocino
C,226,OMD, CASPAR                                ,39.2235117,,MONTEREY,,81,OTH Mendocino
C,227,OMD, LITTLE RIVER                          ,39.2235117,,MONTEREY,,82,OTH Mendocino
C,228,OMD, MENDOCINO                             ,39.2235117,,MONTEREY,,83,OTH Mendocino
C,233,OMD, WESTPORT                              ,39.2235117,,MONTEREY,,84,OTH Mendocino
C,240,OMD, ALMANOR                               ,39.2235117,,MONTEREY,,85,OTH Mendocino
C,243,OMD, UKIAH                                 ,39.2235117,,MONTEREY,,86,OTH Mendocino
C,275,OMD, WILLITS                               ,39.2235117,,MONTEREY,,87,OTH Mendocino
C,427,OMD, ANCHOR BAY                            ,39.2235117,,MONTEREY,,88,OTH Mendocino
W,COU,ONP, COUPEVILLE                            ,49,,VANCOUVER,,531,OTH North
W,P.R,ONP, POINT ROBERTS                         ,49,,VANCOUVER,,532,OTH North
W,ORE,OOR, OREGON PORT                           ,,,COLUMBIA,,538,
O,38,ORF, PORT ORFORD                           ,42.7387201,-124.4912156,EUREKA,PORT ORFORD,309, PORT ORFORD                           
C,734,OSD, SAN CLEMENTE ISLAND                   ,33.4597501,,CONCEPTION,,473,OTH SD
C,800,OSD, SAN DIEGO AREA                        ,33.4597501,,CONCEPTION,SAN DIEGO AREA,474,OTH SD
C,852,OSD, POWAY                                 ,33.4597501,,CONCEPTION,,475,OTH SD
C,859,OSD, VALLEY CENTER                         ,33.4597501,,CONCEPTION,,476,OTH SD
C,860,OSD, SANTEE                                ,33.4597501,,CONCEPTION,,477,OTH SD
C,861,OSD, FALLBROOK                             ,33.4597501,,CONCEPTION,,478,OTH SD
C,862,OSD, SAN MARCOS                            ,33.4597501,,CONCEPTION,,479,OTH SD
C,863,OSD, NORTH SHORE                           ,33.4597501,,CONCEPTION,,480,OTH SD
C,864,OSD, BONITA                                ,33.4597501,,CONCEPTION,,481,OTH SD
C,865,OSD, SPRING VALLEY                         ,33.4597501,,CONCEPTION,,482,OTH SD
C,867,OSD, LEUCADIA                              ,33.4597501,,CONCEPTION,,483,OTH SD
C,868,OSD, IMPERIAL BEACH                        ,33.4597501,,CONCEPTION,,484,OTH SD
C,869,OSD, MISSION BAY                           ,33.4597501,,CONCEPTION,,485,OTH SD
C,870,OSD, SAN YSIDRO                            ,33.4597501,,CONCEPTION,,486,OTH SD
C,877,OSD, LEMON GROVE                           ,33.4597501,,CONCEPTION,,487,OTH SD
C,879,OSD, EL CAJON                              ,33.4597501,,CONCEPTION,,488,OTH SD
C,881,OSD, POINT LOMA                            ,33.4597501,,CONCEPTION,,489,OTH SD
C,882,OSD, NATIONAL CITY                         ,33.4597501,,CONCEPTION,,490,OTH SD
C,884,OSD, CORONADO                              ,33.4597501,,CONCEPTION,,491,OTH SD
C,885,OSD, OCEAN BEACH                           ,33.4597501,,CONCEPTION,,492,OTH SD
C,886,OSD, MISSION BEACH                         ,33.4597501,,CONCEPTION,,493,OTH SD
C,888,OSD, LA JOLLA                              ,33.4597501,,CONCEPTION,,494,OTH SD
C,889,OSD, CHULA VISTA                           ,33.4597501,,CONCEPTION,,495,OTH SD
C,890,OSD, DEL MAR                               ,33.4597501,,CONCEPTION,,496,OTH SD
C,891,OSD, CARLSBAD                              ,33.4597501,,CONCEPTION,,497,OTH SD
C,893,OSD, CARDIFF                               ,33.4597501,,CONCEPTION,,498,OTH SD
C,894,OSD, ENCINITAS                             ,33.4597501,,CONCEPTION,,499,OTH SD
C,895,OSD, SOLANA BEACH                          ,33.4597501,,CONCEPTION,,500,OTH SD
C,897,OSD, VISTA                                 ,33.4597501,,CONCEPTION,,501,OTH SD
C,898,OSD, LA MESA                               ,33.4597501,,CONCEPTION,,502,OTH SD
C,899,OSD, ESCONDIDO                             ,33.4597501,,CONCEPTION,,503,OTH SD
C,259,OSF, CONCORD                               ,37.809,,MONTEREY,,92,OTH SF
C,262,OSF, VACAVILLE                             ,37.809,,MONTEREY,,93,OTH SF
C,266,OSF, FAIRFIELD                             ,37.809,,MONTEREY,,94,OTH SF
C,304,OSF, DANVILLE                              ,37.809,,MONTEREY,,95,OTH SF
C,307,OSF, PLEASANT HILL                         ,37.809,,MONTEREY,,96,OTH SF
C,308,OSF, PLEASANTON                            ,37.809,,MONTEREY,,97,OTH SF
C,314,OSF, WALNUT CREEK                          ,37.809,,MONTEREY,,98,OTH SF
C,323,OSF, BRENTWOOD                             ,37.809,,MONTEREY,,99,OTH SF
C,325,OSF, SUISUN CITY                           ,37.809,,MONTEREY,,100,OTH SF
C,329,OSF, BIRDS LANDING                         ,37.809,,MONTEREY,,101,OTH SF
C,341,OSF, BENICIA                               ,37.809,,MONTEREY,,102,OTH SF
C,342,OSF, COLLINSVILLE                          ,37.809,,MONTEREY,,103,OTH SF
C,345,OSF, PITTSBURG                             ,37.809,,MONTEREY,,104,OTH SF
C,348,OSF, MARTINEZ                              ,37.809,,MONTEREY,,105,OTH SF
C,351,OSF, RIO VISTA                             ,37.809,,MONTEREY,,106,OTH SF
C,356,OSF, ANTIOCH                               ,37.809,,MONTEREY,,107,OTH SF
C,357,OSF, CROCKETT                              ,37.809,,MONTEREY,,108,OTH SF
C,360,OSF, ANTIOCH BRIDGE                        ,37.809,,MONTEREY,,109,OTH SF
C,367,OSF, PORT COSTA                            ,37.809,,MONTEREY,,110,OTH SF
C,387,OSF, OAKLEY                                ,37.809,,MONTEREY,,111,OTH SF
C,400,OSF, SAN FRANCISCO AREA                    ,37.809,,MONTEREY,SAN FRANCISCO AREA,112,OTH SF
C,401,OSF, FREMONT                               ,37.809,,MONTEREY,,113,OTH SF
C,402,OSF, ALAMO                                 ,37.809,,MONTEREY,,114,OTH SF
C,403,OSF, LOS GATOS                             ,37.809,,MONTEREY,,115,OTH SF
C,409,OSF, FOSTER CITY                           ,37.809,,MONTEREY,,116,OTH SF
C,410,OSF, BURLINGAME                            ,37.809,,MONTEREY,,117,OTH SF
C,411,OSF, LOS ALTOS                             ,37.809,,MONTEREY,,118,OTH SF
C,412,OSF, GLEN COVE                             ,37.809,,MONTEREY,,119,OTH SF
C,413,OSF, LIVERMORE                             ,37.809,,MONTEREY,,120,OTH SF
C,414,OSF, SAN BRUNO                             ,37.809,,MONTEREY,,121,OTH SF
C,416,OSF, YOUNTVILLE                            ,37.809,,MONTEREY,,122,OTH SF
C,417,OSF, NEWARK                                ,37.809,,MONTEREY,,123,OTH SF
C,422,OSF, EL SOBRANTE                           ,37.809,,MONTEREY,,124,OTH SF
C,425,OSF, EMERYVILLE                            ,37.809,,MONTEREY,,125,OTH SF
C,428,OSF, EL CERRITO                            ,37.809,,MONTEREY,,126,OTH SF
C,429,OSF, NAPA                                  ,37.809,,MONTEREY,,127,OTH SF
C,430,OSF, SAN LEANDRO                           ,37.809,,MONTEREY,,128,OTH SF
C,432,OSF, LAFAYETTE                             ,37.809,,MONTEREY,,129,OTH SF
C,434,OSF, MOUNTAIN VIEW                         ,37.809,,MONTEREY,,130,OTH SF
C,436,OSF, HAYWARD                               ,37.809,,MONTEREY,,131,OTH SF
C,438,OSF, SUNNYVALE                             ,37.809,,MONTEREY,,132,OTH SF
C,439,OSF, PACIFICA                              ,37.809,,MONTEREY,,133,OTH SF
C,442,OSF, REDWOOD CITY                          ,37.809,,MONTEREY,,134,OTH SF
C,443,OSF, MOSS BEACH                            ,37.809,,MONTEREY,,135,OTH SF
C,444,OSF, SAN CARLOS                            ,37.809,,MONTEREY,,136,OTH SF
C,445,OSF, MARTINS BEACH                         ,37.809,,MONTEREY,,137,OTH SF
C,446,OSF, CAMPBELL                              ,37.809,,MONTEREY,,138,OTH SF
C,448,OSF, DALY CITY                             ,37.809,,MONTEREY,,139,OTH SF
C,449,OSF, ALVISO                                ,37.809,,MONTEREY,,140,OTH SF
C,450,OSF, PINOLE                                ,37.809,,MONTEREY,,141,OTH SF
C,451,OSF, RODEO                                 ,37.809,,MONTEREY,,142,OTH SF
C,453,OSF, VALLEJO                               ,37.809,,MONTEREY,,143,OTH SF
C,454,OSF, SAN JOSE                              ,37.809,,MONTEREY,,144,OTH SF
C,455,OSF, CHINA CAMP                            ,37.809,,MONTEREY,,145,OTH SF
C,463,OSF, MCNEARS POINT                         ,37.809,,MONTEREY,,146,OTH SF
C,465,OSF, SAN MATEO                             ,37.809,,MONTEREY,,147,OTH SF
C,470,OSF, SOUTH SAN FRANCISCO                   ,37.809,,MONTEREY,,148,OTH SF
C,479,OSF, PIGEON POINT                          ,37.809,,MONTEREY,,149,OTH SF
C,481,OSF, POINT MONTARA                         ,37.809,,MONTEREY,,150,OTH SF
C,482,OSF, PESCADERO                             ,37.809,,MONTEREY,,151,OTH SF
C,483,OSF, POINT SAN PEDRO                       ,37.809,,MONTEREY,,152,OTH SF
C,484,OSF, ALBANY                                ,37.809,,MONTEREY,,153,OTH SF
C,485,OSF, FARALLONE IS                          ,37.809,,MONTEREY,,154,OTH SF
C,494,OSF, PALO ALTO                             ,37.809,,MONTEREY,,155,OTH SF
C,498,OSF, ROCKAWAY BEACH                        ,37.809,,MONTEREY,,156,OTH SF
C,512,OSL, SAN MIGUEL                            ,35.179,,CONCEPTION,,14,OTH SLO
C,513,OSL, PASO ROBLES                           ,35.179,,CONCEPTION,,15,OTH SLO
C,601,OSL, ARROYO GRANDE                         ,35.179,,CONCEPTION,,16,OTH SLO
C,603,OSL, CAYUCOS                               ,35.179,,CONCEPTION,,17,OTH SLO
C,607,OSL, OCEANO                                ,35.179,,CONCEPTION,,18,OTH SLO
C,609,OSL, SAN LUIS OBISPO                       ,35.179,,CONCEPTION,,19,OTH SLO
C,610,OSL, PISMO BEACH                           ,35.179,,CONCEPTION,,20,OTH SLO
C,615,OSL, SAN SIMEON                            ,35.179,,CONCEPTION,,21,OTH SLO
C,629,OSL, SHELL BEACH                           ,35.179,,CONCEPTION,,22,OTH SLO
C,631,OSL, NIPOMO                                ,35.179,,CONCEPTION,,23,OTH SLO
C,632,OSL, CAMBRIA                               ,35.179,,CONCEPTION,,24,OTH SLO
C,638,OSL, GROVER CITY                           ,35.179,,CONCEPTION,,25,OTH SLO
C,648,OSL, BAYWOOD PARK                          ,35.179,,CONCEPTION,,26,OTH SLO
C,653,OSL, ATASCADERO                            ,35.179,,CONCEPTION,,27,OTH SLO
C,247,OSM, CLOVERDALE                            ,38.33,,MONTEREY,,41,OTH Sonoma/Marin
C,261,OSM, OCCIDENTAL                            ,38.33,,MONTEREY,,42,OTH Sonoma/Marin
C,404,OSM, FORREST KNOLLS                        ,38.33,,MONTEREY,,43,OTH Sonoma/Marin
C,407,OSM, ROHNERT PARK                          ,38.33,,MONTEREY,,44,OTH Sonoma/Marin
C,408,OSM, GREENBRAE                             ,38.33,,MONTEREY,,45,OTH Sonoma/Marin
C,415,OSM, NICASIO                               ,38.33,,MONTEREY,,46,OTH Sonoma/Marin
C,419,OSM, SONOMA                                ,38.33,,MONTEREY,,47,OTH Sonoma/Marin
C,420,OSM, GUERNEVILLE                           ,38.33,,MONTEREY,,48,OTH Sonoma/Marin
C,423,OSM, MUIR BEACH                            ,38.33,,MONTEREY,,49,OTH Sonoma/Marin
C,426,OSM, KENTFIELD                             ,38.33,,MONTEREY,,50,OTH Sonoma/Marin
C,431,OSM, MILL VALLEY                           ,38.33,,MONTEREY,,51,OTH Sonoma/Marin
C,435,OSM, HEALDSBURG                            ,38.33,,MONTEREY,,52,OTH Sonoma/Marin
C,437,OSM, DRAKES BAY                            ,38.33,,MONTEREY,,53,OTH Sonoma/Marin
C,441,OSM, DILLON BEACH                          ,38.33,,MONTEREY,,54,OTH Sonoma/Marin
C,447,OSM, STEWARTS POINT                        ,38.33,,MONTEREY,,55,OTH Sonoma/Marin
C,457,OSM, NOVATO                                ,38.33,,MONTEREY,,56,OTH Sonoma/Marin
C,459,OSM, PETALUMA                              ,38.33,,MONTEREY,,57,OTH Sonoma/Marin
C,462,OSM, MARSHALL                              ,38.33,,MONTEREY,,58,OTH Sonoma/Marin
C,466,OSM, SAN QUENTIN                           ,38.33,,MONTEREY,,59,OTH Sonoma/Marin
C,468,OSM, SAN RAFAEL                            ,38.33,,MONTEREY,,60,OTH Sonoma/Marin
C,474,OSM, INVERNESS                             ,38.33,,MONTEREY,,61,OTH Sonoma/Marin
C,475,OSM, SANTA ROSA                            ,38.33,,MONTEREY,,62,OTH Sonoma/Marin
C,486,OSM, MILLERTON                             ,38.33,,MONTEREY,,63,OTH Sonoma/Marin
C,488,OSM, MARCONI                               ,38.33,,MONTEREY,,64,OTH Sonoma/Marin
C,489,OSM, JENNER                                ,38.33,,MONTEREY,,65,OTH Sonoma/Marin
C,490,OSM, HAMLET                                ,38.33,,MONTEREY,,66,OTH Sonoma/Marin
C,491,OSM, CORTE MADERA                          ,38.33,,MONTEREY,,67,OTH Sonoma/Marin
C,492,OSM, SEBASTOPOL                            ,38.33,,MONTEREY,,68,OTH Sonoma/Marin
C,496,OSM, TIBURON                               ,38.33,,MONTEREY,,69,OTH Sonoma/Marin
C,497,OSM, STINSON BEACH                         ,38.33,,MONTEREY,,70,OTH Sonoma/Marin
C,499,OSM, WINDSOR                               ,38.33,,MONTEREY,,71,OTH Sonoma/Marin
W,BRE,OSP, BREMERTON                             ,47.56,,VANCOUVER,,460,OSP
W,BRI,OSP, BRINNON                               ,47.56,,VANCOUVER,,461,OSP
W,POU,OSP, POULSBO                               ,47.56,,VANCOUVER,,462,OSP
W,UNK,OWA, OTHER OR UNKNOWN WASHINGTON PORT      ,49,,,,533,OWA
W,TAH,OWC, TAHOLAH                               ,46.35,,COLUMBIA,,445,OWC
W,L.B,OWC, LONG BEACH                            ,46.35,,COLUMBIA,,446,OWC
C,608,OXN, OXNARD                                ,34.160278,-119.194444,CONCEPTION,OXNARD,9, OXNARD                                
W,P.A,PAG, PORT ANGELES                          ,48.1239796,-123.4165744,VANCOUVER,PORT ANGELES,468, PORT ANGELES                          
O,16,PCC, PACIFIC CITY                          ,45.2023263,-123.9628946,COLUMBIA,PACIFIC CITY,366, PACIFIC CITY                          
C,452,PRN, PRINCETON                             ,37.50325747,-122.4894476,MONTEREY,PRINCETON (HALF MOON BAY),31, PRINCETON                             
C,478,RCH, RICHMOND                              ,37.915,,MONTEREY,,37, RICHMOND                              
C,476,RYS, POINT REYES                           ,37.9957621,-123.0233322,MONTEREY,,38, POINT REYES                           
C,611,SB, SANTA BARBARA                         ,34.4072194,-119.6887448,CONCEPTION,SANTA BARBARA,11, SANTA BARBARA                         
C,880,SD, SAN DIEGO                             ,32.71162214,-117.1750259,,SAN DIEGO,1, SAN DIEGO                             
W,SEA,SEA, SEATTLE                               ,47.6592645,-122.3759619,VANCOUVER,SEATTLE,463, SEATTLE                               
W,SEQ,SEQ, SEQUIM                                ,48.0795365,-123.1018437,VANCOUVER,,466, SEQUIM                                
C,440,SF, SAN FRANCISCO                         ,37.80983481,-122.4177146,MONTEREY,SAN FRANCISCO,34, SAN FRANCISCO                         
W,SHE,SHL, SHELTON                               ,47.2150945,-123.1007066,VANCOUVER,,458, SHELTON                               
O,14,SLK, SAND LAKE                             ,,,,,539, SAND LAKE                             
O,14,SLK, SAND LAKE                             ,,,,,540, SAND LAKE                             
C,469,SLT, SAUSALITO                             ,37.8590938,-122.4802506,MONTEREY,,35, SAUSALITO                             
O,20,SLZ, SILETZ BAY                            ,44.903444,-124.0198361,COLUMBIA,,363, SILETZ BAY                            
C,770,SP, SAN PEDRO                             ,33.73583,-118.29139,CONCEPTION,SAN PEDRO,5, SAN PEDRO                             
O,18,SRV, SALMON RIVER                          ,45.0559446,-123.7659463,COLUMBIA,,364, SALMON RIVER                          
O,18,SRV, SALMON RIVER                          ,45.0559446,-123.7659463,COLUMBIA,,365, SALMON RIVER                          
W,TAC,TAC, TACOMA                                ,47.28621611,-122.4254608,VANCOUVER,,459, TACOMA                                
O,10,TLL, GARIBALDI                             ,45.5128814,-123.9165192,COLUMBIA,GARIBALDI (TILLAMOOK),368, GARIBALDI                             
C,477,TML, TOMALES BAY                           ,38.169643,-122.909996,MONTEREY,,39, TOMALES BAY                           
W,P.T,TNS, PORT TOWNSEND                         ,48.1170387,-122.7604472,VANCOUVER,,467, PORT TOWNSEND                         
C,745,TRM, TERMINAL ISLAND                       ,33.73677794,-118.2709658,CONCEPTION,TERMINAL ISLAND,6, TERMINAL ISLAND                       
C,231,TRN, TRINIDAD                              ,41.0554022,-124.1472914,EUREKA,TRINIDAD,89, TRINIDAD                              
C,613,VEN, VENTURA                               ,34.24944,-119.26483,CONCEPTION,VENTURA,10, VENTURA                               
O,47,WAL, WASHINGTON STATE                      ,,,,,541, WASHINGTON STATE                      
O,47,WAL, WASHINGTON STATE                      ,,,,,542, WASHINGTON STATE                      
O,32,WIN, WINCHESTER BAY                        ,43.6776165,-124.1776149,COLUMBIA,WINCHESTER BAY,337, WINCHESTER BAY                        
W,TOK,WLB, TOKELAND                              ,46.7295389,-124.0907263,COLUMBIA,,447, TOKELAND                              
W,B.C,WLB, BAY CENTER                            ,46.7295389,-124.0907263,COLUMBIA,,448, BAY CENTER                            
W,NAS,WLB, NASELLE                               ,46.7295389,-124.0907263,COLUMBIA,,449, NASELLE                               
W,RAY,WLB, RAYMOND                               ,46.7295389,-124.0907263,COLUMBIA,,450, RAYMOND                               
W,S.B,WLB, SOUTH BEND                            ,46.7295389,-124.0907263,COLUMBIA,,451, SOUTH BEND                            
O,26,WLD, WALDPORT                              ,44.426786,-124.0687302,COLUMBIA,,360, WALDPORT                              
C,746,WLM, WILMINGTON                            ,33.780018,-118.2625711,,,7, WILMINGTON                            
O,67,WPT, WESTPORT WA                           ,46.8900903,-124.1040613,COLUMBIA,,452, WESTPORT WA                           
W,WES,WPT, WESTPORT                              ,46.8900903,-124.1040613,COLUMBIA,WESTPORT,453, WESTPORT                              
O,28,YAC, YACHATS                               ,44.3112312,-124.1048418,COLUMBIA,,359, YACHATS                               
